name,address,opening_hours,lat,lon,email,full_name,phone_number,web_site,region,adm_zone
"Объединение культурных центров Новомосковского и Троицкого административных округов, Дом культуры «Михайловское»","город Москва, поселение Михайлово-Ярцевское, посёлок Шишкин Лес, дом 35",77,55.41329,37.18908,les.dk@yandex.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Новомосковского и Троицкого административных округов»,+7 (495) 850-56-51,dkmihailovskoe.ru,Михайлово-Ярцевское,ТАО
"Объединение культурных центров Новомосковского и Троицкого административных округов, Дом культуры «Кленово»","город Москва, поселение Кленовское, село Кленово, Центральная улица, дом 1",71,55.323833,37.344449,direktordkklenovo@yandex.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Новомосковского и Троицкого административных округов»,+7 (495) 865-63-83,dkklenovo.ru,Кленовское,ТАО
"Объединение культурных центров Новомосковского и Троицкого административных округов, Культурный Центр «Киевский»","Российская Федерация, город Москва, внутригородская территория поселение Киевский, рабочий посёлок Киевский, дом 16А",91,55.42956,36.867802,kckievskiy@culture.mos.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Новомосковского и Троицкого административных округов»,+7 (495) 123-32-14,kievsky.space,Киевский,ТАО
"Объединение культурных центров Северного административного округа, Клуб «Огонёк»","Российская Федерация, город Москва, внутригородская территория муниципальный округ Ховрино, Зеленоградская улица, дом 33А",69,55.875714,37.491733,ogonekclub@culture.mos.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Северного административного округа»,+7 (495) 451-64-09,club-ogonek.ru,Ховрино,САО
"Объединение культурных центров Северного административного округа, Центр культуры и творчества «Нега","город Москва, Дмитровское шоссе, дом 33, строение 5",78,55.82833,37.567936,artnega@yandex.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Северного административного округа»,+7 (499) 976-58-95,nega.ru,Тимирязевский,САО
"Объединение культурных центров Северного административного округа, Клуб культуры и эстетики «Родничок»","Российская Федерация, город Москва, внутригородская территория муниципальный округ Савеловский, улица Юннатов, дом 17, корпус 2",69,55.803039,37.557681,rodnichok2010@yandex.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Северного административного округа»,+7 (495) 614-61-68,klub-rodnichok.ru,Савёловский,САО
"Объединение культурных центров Северного административного округа, Центр Культуры «Гармония»","город Москва, Дмитровское шоссе, дом 25, корпус 1",84,55.7964,37.516352,info@gbukgarmoniya.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Северного административного округа»,+7 (499) 481-01-39,garmos.ru,Тимирязевский,САО
"Объединение культурных центров Северного административного округа, Культурный центр «Онежский»","Российская Федерация, город Москва, внутригородская территория муниципальный округ Головинский, Флотская улица, дом 25",84,55.861598,37.513175,dkonezhskiy@culture.mos.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Северного административного округа»,+7 (495) 454-44-44,on-mos.ru,Головинский,САО
"Объединение культурных центров Северного административного округа, Дом культуры «Восход»","город Москва, улица Маршала Федоренко, дом 2, корпус 2",50,55.878986380944,37.4945942871273,vosxodbusinovo@mail.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Северного административного округа»,+7 (495) 486-73-71,dkvoshod.ru,Западное Дегунино,САО
"Объединение культурных центров Северного административного округа, Клуб «Ладога»","Российская Федерация, город Москва, внутригородская территория муниципальный округ Левобережный, Валдайский проезд, дом 8",69,55.866167,37.467998,club-ladoga@mail.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Северного административного округа»,+7 (499) 457-44-14,ladoga-klub.ru,Левобережный,САО
"Объединение культурных центров Южного административного округа, Дом культуры «Гармония»","Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Кировоградская улица, дом 44Б",73,55.597304,37.595062,dk-garmoniya@yandex.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Южного административного округа»,+7 (495) 387-47-28,dk-garmoniya.ru,Чертаново Южное,ЮАО
"Объединение культурных центров Южного административного округа, Центр культуры и спорта","Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Северное, Сумской проезд, дом 6А",84,55.609379,37.584284,infockis@mail.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Южного административного округа»,+7 (495) 312-50-71,centerkis.ru,Чертаново Северное,ЮАО
"Объединение культурных центров Южного административного округа, Культурный центр «Братеево»","Российская Федерация, город Москва, внутригородская территория муниципальный округ Братеево, Братеевская улица, дом 16, корпус 3",84,55.633431,37.766882,kcbrateevo@yandex.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Южного административного округа»,+7 (495) 341-95-82,kcbrateevo.ru,Братеево,ЮАО
"Объединение культурных центров Южного административного округа, Дом культуры «Нагорный»","Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагорный, Электролитный проезд, дом 3, корпус 1",91,55.673497,37.620872,dk_nagorniy@mail.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Южного административного округа»,+7 (499) 317-65-45,dknagorniy.ru,Нагорный,ЮАО
"Объединение культурных центров Южного административного округа, Культурный центр «Загорье»","Российская Федерация, город Москва, внутригородская территория муниципальный округ Бирюлево Восточное, Загорьевская улица, дом 1, корпус 1",98,55.637985,37.681307,gdk_zagorie@mail.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Южного административного округа»,+7 (499) 323-34-81,kczagorie.ru,Бирюлёво Восточное,ЮАО
"Объединение культурных центров Южного административного округа, Культурный центр «Москворечье»","Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатино-Садовники, Каширское шоссе, дом 16",91,55.646067,37.668176,dk-moskvor@yandex.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Южного административного округа»,+7 (495) 324-35-14,dk-moskvor.ru,Нагатино-Садовники,ЮАО
"Объединение культурных центров Южного административного округа, Дом культуры «Нагатино»","Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатинский Затон, Судостроительная улица, дом 28, корпус 1",91,55.683436,37.682434,dknagatino@mail.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Южного административного округа»,+7 (499) 616-60-66,nagati.ru,Нагатинский Затон,ЮАО
"Объединение культурных центров Южного административного округа, Территориальная клубная система «Орехово»","Российская Федерация, город Москва, внутригородская территория муниципальный округ Орехово-Борисово Северное, Борисовский проезд, дом 11, корпус 3",20,55.624251,37.725795,tksorehovo@mail.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Южного административного округа»,+7 (495) 394-59-34,tks-orehovo.ru,Орехово-Борисово Северное,ЮАО
"Объединение культурных центров Южного административного округа, Дом культуры «Дружба»","Российская Федерация, город Москва, внутригородская территория муниципальный округ Бирюлево Западное, Медынская улица, дом 6А",98,55.593325,37.644353,dk.drugba@mail.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Южного административного округа»,+7 (495) 385-01-51,drugdk.ru,Бирюлёво Западное,ЮАО
"Объединение культурных центров Южного административного округа, Культурный центр «Авангард»","город Москва, улица Генерала Белова, дом 18",91,55.609129,37.721146,avangardinfo.avangard@gmail.com,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Южного административного округа»,+7 (495) 393-80-54,avangard.mos.ru,Орехово-Борисово Южное,ЮАО
"Объединение культурных центров Южного административного округа, Дом культуры «Маяк»","Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, улица Газопровод, дом 9А",84,55.591012,37.606972,dkmayk@mail.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Южного административного округа»,+7 (495) 381-85-78,дкмаяк.москва,Чертаново Южное,ЮАО
"Объединение культурных центров Западного административного округа, Территориальная клубная система «Бригантина»","Российская Федерация, город Москва, внутригородская территория муниципальный округ Филевский Парк, улица Василисы Кожиной, дом 24, корпус 1",70,55.738132,37.489499,tks_brigantina@mail.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Западного административного округа»,+7 (499) 146-93-65,tksbrigantina.ru,Филёвский Парк,ЗАО
"Объединение культурных центров Западного административного округа, Территориальная клубная система «Кунцево»","Российская Федерация, город Москва, внутригородская территория муниципальный округ Можайский, Сколковское шоссе, дом 32, корпус 2",83,55.764063,37.413045,tkskuncevo@culture.mos.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Западного административного округа»,+7 (495) 731-54-78,tkskuncevo.ru,Можайский,ЗАО
"Объединение культурных центров Западного административного округа, Дом культуры «Аструм»","Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, площадь Победы, дом 2, корпус 2",77,55.737405,37.516414,astrumdk@mail.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Западного административного округа»,+7 (499) 148-93-90,astrum-club.ru,Дорогомилово,ЗАО
"Объединение культурных центров Западного административного округа, Культурный центр «Рублево»","Российская Федерация, город Москва, внутригородская территория муниципальный округ Кунцево, Полоцкая улица, дом 16",94,55.734221,37.425502,dkrublevo@culture.mos.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Западного административного округа»,+7 (499) 149-33-45,rublevoart.ru,Кунцево,ЗАО
"Объединение культурных центров Западного административного округа, Территориальная клубная система «Оптимист»","Российская Федерация, город Москва, внутригородская территория муниципальный округ Тропарево-Никулино, улица Академика Анохина, дом 62",61,55.6545698065473,37.4913434498012,optimist@optimistclub.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Западного административного округа»,+7 (499) 737-51-38,optimistclub.ru,Тропарёво-Никулино,ЗАО
"Объединение культурных центров Западного административного округа, Культурный центр «Зодчие»","Российская Федерация, город Москва, внутригородская территория муниципальный округ Кунцево, улица Боженко, дом 9",84,55.732265,37.405271,info@zodchie.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Западного административного округа»,+7 (499) 417-45-53,zodchie.ru,Кунцево,ЗАО
"Объединение культурных центров Западного административного округа, Территориальная клубная система «Ново-Переделкино»","город Москва, Боровское шоссе, дом 40",52,55.64653,37.344013,dir1@tks-np.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Западного административного округа»,+7 (495) 732-02-17,tks-np.ru,Ново-Переделкино,ЗАО
"Объединение культурных центров Западного административного округа, Территориальная клубная система «Солнцево»","Российская Федерация, город Москва, внутригородская территория муниципальный округ Солнцево, улица Авиаторов, дом 16, корпус 1",84,55.65045,37.39452,tks-sol@mail.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Западного административного округа»,+7 (495) 934-86-51,tks-solntsevo.ru,Солнцево,ЗАО
"Объединение культурных центров Западного административного округа, Территориальная клубная система «Фили-Давыдково»","Российская Федерация, город Москва, внутригородская территория муниципальный округ Фили-Давыдково, Большая Филёвская улица, дом 59, корпус 1",58,55.7371303254451,37.4804644100368,dk-karavella@mail.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Западного административного округа»,+7 (499) 146-65-15,tks-fili.ru,Фили-Давыдково,ЗАО
"Объединение культурных центров Западного административного округа, Территориальная клубная система «Планета»","Российская Федерация, город Москва, внутригородская территория муниципальный округ Очаково-Матвеевское, Озёрная улица, дом 4/9",69,55.710928,37.485864,tksplaneta@culture.mos.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Западного административного округа»,+7 (495) 430-28-63,tksplaneta.mos.ru,Очаково-Матвеевское,ЗАО
